Employee_ID,Age,Gender,Department,Job_Role,Education_Level,Marital_Status,Years_at_Company,Monthly_Salary,Overtime,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Promotion_Last_3_Years,Remote_Work,Attrition
100001,36,Female,IT,Software Engineer,Bachelor's,Single,7,58499.19,Yes,Poor,Medium,Outstanding,17,No,Yes,Yes
100002,32,Female,IT,Software Engineer,Bachelor's,Married,7,89625.43,No,Good,Medium,Meets Expectations,26,No,No,No
100003,37,Female,Marketing,SEO Specialist,Bachelor's,Single,6,42653.95,Yes,Fair,Very High,Exceeds Expectations,22,No,Hybrid,No
100004,43,Female,Operations,Supply Chain Analyst,Bachelor's,Single,9,56779.34,No,Excellent,High,Exceeds Expectations,45,No,Yes,No
100005,31,Female,IT,Data Analyst,Bachelor's,Single,11,79015.21,No,Good,Medium,Needs Improvement,57,No,Hybrid,No
100006,31,Female,Sales,Sales Executive,Bachelor's,Married,5,41362.49,Yes,Fair,Medium,Meets Expectations,45,No,Yes,Yes
100007,44,Female,Sales,Sales Executive,Bachelor's,Single,5,42437.92,No,Excellent,Medium,Meets Expectations,30,No,Yes,No
100008,38,Male,Sales,Account Executive,Master's,Married,8,72381.47,No,Excellent,Very High,Exceeds Expectations,20,No,Hybrid,No
100009,29,Female,Sales,Sales Executive,Bachelor's,Single,4,43091.93,No,Excellent,High,Meets Expectations,24,No,Yes,No
100010,36,Male,IT,System Administrator,Bachelor's,Single,7,88951.18,No,Good,Medium,Exceeds Expectations,44,No,Yes,No
100011,29,Male,Finance,Accountant,Master's,Single,7,76486.64,Yes,Good,Medium,Meets Expectations,42,No,Hybrid,No
100012,29,Female,Operations,Logistics Coordinator,Bachelor's,Single,1,27956.22,No,Excellent,Medium,Meets Expectations,15,No,Hybrid,No
100013,34,Male,Operations,Supply Chain Analyst,Master's,Single,8,49165.54,No,Poor,Medium,Meets Expectations,49,No,No,No
100014,21,Male,IT,Software Engineer,Master's,Single,10,93163.46,No,Good,Medium,Meets Expectations,15,No,Hybrid,No
100015,21,Female,Operations,Operations Executive,Bachelor's,Married,4,37433.12,No,Good,High,Meets Expectations,38,No,Hybrid,No
100016,29,Female,IT,Software Engineer,Bachelor's,Divorced,9,80147.58,No,Good,Medium,Meets Expectations,20,No,Hybrid,No
100017,25,Female,Sales,Sales Executive,Master's,Married,5,56262.26,No,Excellent,High,Meets Expectations,48,No,Yes,No
100018,35,Male,HR,HR Executive,Master's,Single,8,61279.3,No,Good,Very High,Meets Expectations,32,No,Hybrid,No
100019,26,Male,Sales,Account Executive,Bachelor's,Single,4,43371.32,Yes,Poor,High,Meets Expectations,27,No,Hybrid,Yes
100020,23,Female,IT,System Administrator,Bachelor's,Single,4,58249.46,Yes,Fair,Medium,Needs Improvement,29,No,Yes,Yes
100021,43,Male,IT,Software Engineer,Bachelor's,Single,2,60216.21,No,Good,High,Meets Expectations,0,Yes,Hybrid,No
100022,31,Female,Sales,Account Executive,Master's,Single,5,45463.82,No,Good,High,Needs Improvement,4,No,Yes,No
100023,33,Female,Operations,Operations Executive,Bachelor's,Single,0,25607.26,Yes,Poor,Very High,Meets Expectations,32,No,No,Yes
100024,23,Male,Marketing,SEO Specialist,Master's,Single,4,53041.45,No,Good,Very High,Meets Expectations,56,No,Yes,No
100025,29,Female,Operations,Logistics Coordinator,PhD,Single,1,54455.34,No,Excellent,Medium,Meets Expectations,10,No,Hybrid,No
100026,33,Male,Operations,Logistics Coordinator,Master's,Single,9,46391.33,No,Fair,Low,Exceeds Expectations,56,No,Yes,No
